usuario_id,cancion_id,fecha_escucha
101,1,2024-01-05
102,2,2024-01-05
101,3,2024-01-10
103,1,2024-01-12
104,4,2024-01-15
105,5,2024-01-20
102,1,2024-01-25
103,4,2024-02-01
106,6,2024-02-02
107,7,2024-02-03
108,8,2024-02-04
109,9,2024-02-05
110,10,2024-02-06
111,11,2024-02-07
112,12,2024-02-08
113,13,2024-02-09
114,14,2024-02-10
115,15,2024-02-11
116,16,2024-02-12
117,17,2024-02-13
118,18,2024-02-14
119,19,2024-02-15
120,20,2024-02-16
121,21,2024-02-17
122,22,2024-02-18
123,23,2024-02-19
124,24,2024-02-20
125,25,2024-02-21
126,26,2024-02-22
127,27,2024-02-23
128,28,2024-02-24
129,29,2024-02-25
130,30,2024-02-26
131,31,2024-02-27
132,32,2024-02-28
133,33,2024-03-01
134,34,2024-03-02
135,35,2024-03-03
136,36,2024-03-04
137,37,2024-03-05
138,38,2024-03-06
139,39,2024-03-07
140,40,2024-03-08
141,41,2024-03-09
142,42,2024-03-10
143,43,2024-03-11
144,44,2024-03-12
145,45,2024-03-13
146,46,2024-03-14
147,47,2024-03-15
148,48,2024-03-16
149,49,2024-03-17
150,50,2024-03-18
151,51,2024-03-19
152,52,2024-03-20
153,53,2024-03-21
154,54,2024-03-22
155,55,2024-03-23
156,56,2024-03-24
157,57,2024-03-25
158,58,2024-03-26
159,59,2024-03-27
160,60,2024-03-28
161,61,2024-03-29
162,62,2024-03-30
163,63,2024-03-31
164,64,2024-04-01
165,65,2024-04-02
166,66,2024-04-03
167,67,2024-04-04
168,68,2024-04-05
169,69,2024-04-06
170,70,2024-04-07
171,71,2024-04-08
172,72,2024-04-09
173,73,2024-04-10
174,74,2024-04-11
175,75,2024-04-12
176,76,2024-04-13
177,77,2024-04-14
178,78,2024-04-15
179,79,2024-04-16
180,80,2024-04-17
181,81,2024-04-18
182,82,2024-04-19
183,83,2024-04-20
184,84,2024-04-21
185,85,2024-04-22
186,86,2024-04-23
187,87,2024-04-24
188,88,2024-04-25
189,89,2024-04-26
190,90,2024-04-27
191,91,2024-04-28
192,92,2024-04-29
193,93,2024-04-30
194,94,2024-05-01
195,95,2024-05-02
196,96,2024-05-03
197,97,2024-05-04
198,98,2024-05-05
199,99,2024-05-06
200,100,2024-05-07
